index	label	region_name
1	R_V1	Primary Visual Co+C181+C2:C180
2	R_MST	Medial Superior Temporal Area
3	R_V6	Sixth Visual Area
4	R_V2	Second Visual Area
5	R_V3	Third Visual Area
6	R_V4	Fourth Visual Area
7	R_V8	Eighth Visual Area
8	R_4	Primary Motor Cortex
9	R_3b	Primary Sensory Cortex
10	R_FEF	Frontal Eye Fields
11	R_PEF	Premotor Eye Field
12	R_55b	Area 55b
13	R_V3A	Area V3A
14	R_RSC	RetroSplenial Complex
15	R_POS2	Parieto-Occipital Sulcus Area 2
16	R_V7	Seventh Visual Area
17	R_IPS1	IntraParietal Sulcus Area 1
18	R_FFC	Fusiform Face Complex
19	R_V3B	Area V3B
20	R_LO1	Area Lateral Occipital 1
21	R_LO2	Area Lateral Occipital 2
22	R_PIT	Posterior InferoTemporal Complex
23	R_MT	Middle Temporal Area
24	R_A1	Primary Auditory Cortex
25	R_PSL	PeriSylvian Language Area
26	R_SFL	Superior Frontal Language Area
27	R_PCV	PreCuneus Visual Area
28	R_STV	Superior Temporal Visual Area
29	R_7Pm	Medial Area 7P
30	R_7m	Area 7m
31	R_POS1	Parieto-Occipital Sulcus Area 1
32	R_23d	Area 23d
33	R_v23ab	Area Ventral 23 a+b
34	R_d23ab	Area Dorsal 23 a+b
35	R_31pv	Area 31p Ventral
36	R_5m	Area 5m
37	R_5mv	Area 5m Ventral
38	R_23c	Area 23c
39	R_5L	Area 5L
40	R_24dd	Dorsal Area 24d
41	R_24dv	Ventral Area 24d
42	R_7AL	Lateral Area 7A
43	R_SCEF	Supplementary and Cingulate Eye Field
44	R_6ma	Area 6m Anterior
45	R_7Am	Medial Area 7A
46	R_7PL	Lateral Area 7P
47	R_7PC	Area 7PC
48	R_LIPv	Area Lateral IntraParietal Ventral
49	R_VIP	Ventral IntraParietal Complex
50	R_MIP	Medial IntraParietal Area
51	R_1	Area 1
52	R_2	Area 2
53	R_3a	Area 3a
54	R_6d	Dorsal Area 6
55	R_6mp	Area 6mp
56	R_6v	Ventral Area 6
57	R_p24pr	Area Posterior 24 Prime
58	R_33pr	Area 33 Prime
59	R_a24pr	Anterior 24 Prime
60	R_p32pr	Area p32 Prime
61	R_a24	Area a24
62	R_d32	Area Dorsal 32
63	R_8BM	Area 8BM
64	R_p32	Area p32
65	R_10r	Area 10r
66	R_47m	Area 47m
67	R_8Av	Area 8Av
68	R_8Ad	Area 8Ad
69	R_9m	Area 9 Middle
70	R_8BL	Area 8B Lateral
71	R_9p	Area 9 Posterior
72	R_10d	Area 10d
73	R_8C	Area 8C
74	R_44	Area 44
75	R_45	Area 45
76	R_47l	Area 47l (47 Lateral)
77	R_a47r	Area Anterior 47r
78	R_6r	Rostral Area 6
79	R_IFJa	Area IFJa
80	R_IFJp	Area IFJp
81	R_IFSp	Area IFSp
82	R_IFSa	Area IFSa
83	R_p9-46v	Area Posterior 9-46v
84	R_46	Area 46
85	R_a9-46v	Area Anterior 9-46v
86	R_9-46d	Area 9-46d
87	R_9a	Area 9 Anterior
88	R_10v	Area 10v
89	R_a10p	Area Anterior 10p
90	R_10pp	Polar 10p
91	R_11l	Area 11l
92	R_13l	Area 13l
93	R_OFC	Orbital Frontal Complex
94	R_47s	Area 47s
95	R_LIPd	Area Lateral IntraParietal Dorsal
96	R_6a	Area 6 Anterior
97	R_i6-8	Inferior 6-8 Transitional Area
98	R_s6-8	Superior 6-8 Transitional Area
99	R_43	Area 43
100	R_OP4	Area OP4/PV
101	R_OP1	Area OP1/SII
102	R_OP2-3	Area OP2-3/VS
103	R_52	Area 52
104	R_RI	RetroInsular Cortex
105	R_PFcm	Area PFcm
106	R_PoI2	Posterior Insular Area 2
107	R_TA2	Area TA2
108	R_FOP4	Frontal Opercular Area 4
109	R_MI	Middle Insular Area
110	R_Pir	Pirform Cortex
111	R_AVI	Anterior Ventral Insular Area
112	R_AAIC	Anterior Agranular Insula Complex
113	R_FOP1	Frontal Opercular Area 1
114	R_FOP3	Frontal Opercular Area 3
115	R_FOP2	Frontal Opercular Area 2
116	R_PFt	Area PFt
117	R_AIP	Anterior IntraParietal Area
118	R_EC	Entorhinal Cortex
119	R_PreS	PreSubiculum
120	R_H	Hippocampus
121	R_ProS	ProStriate Area
122	R_PeEc	Perirhinal Ectorhinal Cortex
123	R_STGa	Area STGa
124	R_PBelt	ParaBelt Complex
125	R_A5	Auditory 5 Complex
126	R_PHA1	ParaHippocampal Area 1
127	R_PHA3	ParaHippocampal Area 3
128	R_STSda	Area STSd Anterior
129	R_STSdp	Area STSd Posterior
130	R_STSvp	Area STSv Posterior
131	R_TGd	Area TG Dorsal
132	R_TE1a	Area TE1 Anterior
133	R_TE1p	Area TE1 Posterior
134	R_TE2a	Area TE2 Anterior
135	R_TF	Area TF
136	R_TE2p	Area TE2 Posterior
137	R_PHT	Area PHT
138	R_PH	Area PH
139	R_TPOJ1	Area TemporoParietoOccipital Junction 1
140	R_TPOJ2	Area TemporoParietoOccipital Junction 2
141	R_TPOJ3	Area TemporoParietoOccipital Junction 3
142	R_DVT	Dorsal Transitional Visual Area
143	R_PGp	Area PGp
144	R_IP2	Area IntraParietal 2
145	R_IP1	Area IntraParietal 1
