index	label	region_name
1	paraM VI	Paramedial VI
2	inf VS	Inferior VS
3	riAL CE	Right Anterolateral CE
4	med SM	Medial SM
5	postM DM	Posteromedial DM
6	sup DS	Superior DS
7	cb SC	Cerebellar SC
8	lat VI	Lateral VI
9	para VI	Para VI
10	sc CE	Subcortical CE
11	audi SM	Auditory SM
12	paraI SM	Para-inferior SM
13	lang DM	Language DM
14	dACC CE	Dorsal Anterior Cingulate Cortex CE
15	midL VI	Midlateral VI
16	inf DS	Inferior DS
17	post VS	Posterior VS
18	le CE	Left CE
19	supL VI	Superolateral VI
20	aff DM	Affectice DM
21	limb CE	Limbic CE
22	med VI	Medial VI
23	sup VS	Superior VS
24	temp DM	Temporal DM
25	cent SM	Central SM
26	para SM	Paracentral SM
27	IFJa CE	Inferior Frontal Junction a CE
28	paraPM DM	Para-posterioromedial DM
29	5mv VS	Area 5m Ventral VS
30	ri CE	Right CE
31	paraI VI	Para-inferior VI
32	IP0 VI	IntraParietal 0 VI
33	FEF VS	Frontal Eye Fields VS
34	PEF DS	Premotor Eye Field DS
35	cb CE	Cerebellar CE
36	postL VI	Posterolateral VI
37	post DS	Post DS
38	olfa SM	Olfactory SM
39	para VS	Paralateral VS
40	riDF DM	Right Dorsofrontal DM
41	GPu SC	Globus Pallidus Putamen SC
42	IFJp CE	Inferior Frontal Junction p CE
43	precI SM	Precentral Inferior SM
44	inf SM	Inferior SM
45	antM DM	Anteromedial DM
46	face VI	Face Complex VI
47	rACC CE	Rostral Anterior Cingulate Cortex CE
48	broca DM	Broca (BA45) DM
49	riPL CE	Right Posterolateral CE
50	hip DM	Hippocampal DM
